Step#    X(mm)    Y(mm)    Z(mm) KinE(MeV)  dE(MeV) StepLeng TrackLeng  NextVolume ProcName
   52    -1.17    0.179     48.2   1.2e+05   0.0018     0.01       248 sensor_telescope1_phys StepLimiter
   53    -1.17    0.179     48.2   1.2e+05  0.00194     0.01       248 sensor_telescope1_phys StepLimiter
   54    -1.17    0.179     48.2   1.2e+05  0.00348     0.01       248 sensor_telescope1_phys StepLimiter
   55    -1.17    0.179     48.2   1.2e+05  0.00216     0.01       248 sensor_telescope1_phys StepLimiter
   56    -1.17    0.179     48.2   1.2e+05  0.00305     0.01       248 sensor_telescope1_phys StepLimiter
   57    -1.17    0.179     48.3   1.2e+05  0.00253     0.01       248 sensor_telescope1_phys StepLimiter
   58    -1.17    0.179     48.3   1.2e+05  0.00262     0.01       248 sensor_telescope1_phys StepLimiter
   59    -1.17    0.179     48.3   1.2e+05  0.00157     0.01       248 sensor_telescope1_phys StepLimiter
   60    -1.17    0.179     48.3   1.2e+05  0.00323     0.01       248 sensor_telescope1_phys StepLimiter
   61    -1.17    0.179     48.3   1.2e+05  0.00356     0.01       248 sensor_telescope1_phys StepLimiter
   62    -1.17    0.179     48.3   1.2e+05  0.00362     0.01       248 sensor_telescope1_phys StepLimiter
   63    -1.17    0.179     48.3   1.2e+05  0.00179     0.01       248 sensor_telescope1_phys StepLimiter
   64    -1.17    0.179     48.3   1.2e+05  0.00198     0.01       248 sensor_telescope1_phys StepLimiter
   65    -1.17    0.179     48.3   1.2e+05  0.00297     0.01       248 sensor_telescope1_phys StepLimiter
   66    -1.17    0.179     48.3   1.2e+05  0.00133     0.01       248 sensor_telescope1_phys StepLimiter
   67    -1.17    0.179     48.4   1.2e+05   0.0034     0.01       248 sensor_telescope1_phys StepLimiter
   68    -1.17    0.179     48.4   1.2e+05  0.00644     0.01       248 sensor_telescope1_phys StepLimiter
   69    -1.17    0.179     48.4   1.2e+05   0.0015     0.01       248 sensor_telescope1_phys StepLimiter
   70    -1.17    0.179     48.4   1.2e+05  0.00133     0.01       248 sensor_telescope1_phys StepLimiter
   71    -1.17    0.179     48.4   1.2e+05 0.000761  0.00293       248 bumps_telescope1_phys Transportation
   72    -1.17    0.179     48.4   1.2e+05   0.0279   0.0206       248 chip_telescope1_phys Transportation
